Project,Metric,Volatility (Std),Mean,CV %
radix-ui/primitives,tp_testCoverage,0.0,85.0,0.0
shadcn-ui/ui,dx_codeReviewDuration,,,
shadcn-ui/ui,bi_timeToMarket,,,
shadcn-ui/ui,tp_testCoverage,0.0,95.0,0.0
tailwindlabs/headlessui,dx_codeReviewDuration,200.22116376151567,115.71947185426389,173.02288072457893
tailwindlabs/headlessui,bi_timeToMarket,4.071106678452444,2.706064860346993,150.44379527290468
tailwindlabs/headlessui,tp_testCoverage,0.0,85.0,0.0
react-bootstrap/react-bootstrap,dx_codeReviewDuration,108.46827101287117,485.6797890662694,22.3332890218479
react-bootstrap/react-bootstrap,bi_timeToMarket,0.7233910631262376,12.930248553312012,5.594564250978338
react-bootstrap/react-bootstrap,tp_testCoverage,0.0,85.0,0.0
Semantic-Org/Semantic-UI-React,dx_codeReviewDuration,0.0,582.4987422839505,0.0
Semantic-Org/Semantic-UI-React,bi_timeToMarket,3.552713678800501e-15,27.781980324074087,1.2787834550879536e-14
Semantic-Org/Semantic-UI-React,tp_testCoverage,0.0,75.0,0.0
