name,overallScore,confidence,collectedAt,dx_codeReviewDuration,dx_debuggingTime,dx_successfulDeploymentsRatio,dx_timeToFirstCommit,dx_linesChangedPerHour,dx_averageCommentsPerPR,dx_prIterationRate,tp_buildTime,tp_bundleSize,tp_bundleLoadTime,tp_performanceScore,tp_typeScriptErrorRate,tp_testCoverage,bi_timeToMarket,bi_featureSuccessRate,bi_activeContributors,bi_issueResolutionRate,bi_communityGrowth,avg_dx,avg_tp,avg_bi
typescript-eslint/typescript-eslint,71,90,2025-10-02T08:14:15.937Z,302.5032383040936,4037.946097883598,0.95,2.5,0.04271376631872603,4.4,0.6,600.0,77237248,772372.48,60.0,0.42000000000000004,85,10.334397032574744,0.83,24,0.625,15.949,621.2774357077159,13001727.65,10.347679406514947
lerna/lerna,62,90,2025-10-02T08:14:30.274Z,141.58593253968255,6435.043269841271,0.95,2.5,6.007961680122747,1.6,0.3,600.0,40100864,401008.64,60.839,0.1596774193548387,85,12.392272579597142,0.57,23,0.5806451612903226,36.024,941.1410234372967,6750436.439779569,14.513383548177492
mswjs/msw,72,90,2025-10-02T08:14:44.506Z,1085.3041260162597,2479.2482484567904,0.95,2.5,0.07072312333568487,3.1,0.7,600.0,13871104,138711.04,86.45400000000001,0.196875,85,40.335149410774385,0.77,17,0.6875,17.165,510.2675853709121,2335097.7818124997,15.191529882154878
react-hook-form/react-hook-form,67,90,2025-10-02T08:14:59.046Z,265.76947222222225,224.73555555555555,0.95,2.5,0.5804529217625006,0.9,0.6,600.0,30799872,307998.72,69.922,0.1923076923076923,85,17.052821581196575,0.65,35,0.7692307692307693,43.916,70.86221152850575,5184770.972384615,19.477610470085466
TanStack/form,62,90,2025-10-02T08:15:14.455Z,153.76791269841274,893.6138888888887,0.95,2.5,0.6739284523671701,3.5,0.5,600.0,39853056,398530.56,61.081,0.38142857142857145,70,7.048459896584896,0.77,29,0.42857142857142855,5.844,150.7865328628098,6708719.670404762,8.618206265031265
JedWatson/react-select,67,90,2025-10-02T08:15:29.766Z,1865.8448251028808,11630.094429429426,0.95,2.5,1.2787177458647094,5.1,0.6,600.0,20222976,202229.76,80.251,0.174,85,52.0443284970238,0.56,25,0.30666666666666664,28.02,1929.4811388968817,3404328.5308333333,21.186199032738095
pmndrs/react-spring,57,90,2025-10-02T08:15:44.718Z,940.0684722222223,2449.6659567901233,0.95,2.5,0.38192506705069246,8.6,0.4,600.0,692545536,6925455.36,60.0,0.20192307692307693,85,45.39958455165694,0.57,21,0.34615384615384615,28.911,486.08090772562804,116578622.76032053,19.245347679562155
recharts/recharts,79,90,2025-10-02T08:15:59.569Z,20.528308080808078,6269.200454545455,0.95,2.5,7.35569630997354,1.7,0.2,600.0,43832320,438323.2,60.0,0.175,85,0.9244851487723676,0.89,10,0.3055555555555556,26.004,900.3477798480337,7378564.729166667,7.624808140865585
clauderic/dnd-kit,77,90,2025-10-02T08:16:13.605Z,97.50563829787235,0.0,0.95,2.5,0.49293385107025994,2.4,0.6,600.0,9438208,94382.08,90.783,0.16058823529411764,85,19.67236318850902,0.78,21,0.24705882352941178,15.775,14.921224592706087,1588894.3372647057,11.494884402407688
floating-ui/floating-ui,71,90,2025-10-02T08:16:28.215Z,56.9312962962963,2761.612222222222,0.95,2.5,0.2010220245975493,2.5,0.4,600.0,42065920,420659.2,60.0,0.15833333333333333,85,5.1552642746913575,0.84,14,0.5833333333333334,31.92,403.58493436330224,7081220.726388889,10.49971952160494
rjsf-team/react-jsonschema-form,71,90,2025-10-02T08:16:41.559Z,29.11274305555556,6703.477232510288,0.95,2.5,334.1313165888839,2.0,0.4,600.0,407065600,4070656.0,60.0,0.174,85,5.236499099794238,0.9,20,0.6,15.278,1010.3673274506752,68522833.529,8.402899819958849
